epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,385.297,0.0108,2.08046,1.5277,0.52826,0.3228,0.33232,0.20455,0.00954,1.99328,1.20795,0.000662222,0.000662222,0.000662222
1,413.984,0.0108,2.08046,1.5277,0.52826,0.3228,0.33232,0.20455,0.00954,1.99328,1.20795,0.000662222,0.000662222,0.000662222
2,817.195,0.00998,1.80342,1.46776,0.51087,0.34583,0.34492,0.22072,0.00932,1.66044,1.21133,0.000890356,0.000890356,0.000890356
3,1271.95,0.00923,1.6622,1.40421,0.59505,0.35942,0.3904,0.25597,0.00856,1.56539,1.16882,0.000678489,0.000678489,0.000678489
